Cervical epithelial cell	TS-0137
Cervical epithelium	TS-0137
Cervical ganglia	TS-0132
Cervical ganglion	TS-0132
Cervical malignant tumor	TS-1221
Cervical malignant tumour	TS-1221
Cervicothoracic ganglion	TS-0133
Cervix	TS-0134
Cervix adenocarcinoma	TS-0135
Cervix cancer	TS-1221
Cervix carcinoma	TS-0136
Cervix epithelial cell	TS-0137
Cervix epithelium	TS-0137
Cervix glandular cell	TS-1273
Cervix malignant tumor	TS-1221
Cervix malignant tumour	TS-1221
Cervix squamous cell	TS-1251
Cervix squamous epithelial cell	TS-1251
Cervix, uterine	TS-0134
Cervix, uterine glandular cell	TS-1273
Cervix, uterine glandular cells	TS-1273
Cervix, uterine squamous epithelial cells	TS-1251
CGS	TS-1214
CHO	TS-0725
Chondrocyte	TS-0138
Chondrocytes	TS-0138
Chondrosarcoma	TS-0139
Chondrosarcoma tumor	TS-0139
Chorioallantoic membrane	TS-0140
Chorioamniotic membrane	TS-0141
Choriocarcinoma	TS-0142
Choriocarcinoma cell	TS-0142
Choriogenic follicle	TS-0143
Choriogenic follicular cell	TS-0143
Chorionic membrane	TS-0144
Choroid plexus	TS-0145
Chromaffin cell	TS-0146
Chromaffin granule	TS-0146
Chronic myeloid leukaemia cell	TS-0147
Chronic myeloid leukemia cell	TS-0147
Ciliary body	TS-0694
Ciliary body epithelial cell	TS-0695
Ciliary ganglia	TS-1135
Ciliary ganglion	TS-1135
Circular muscle of iris	TS-0492
Circulating blood	TS-0771
Circumesophageal ganglia	TS-0148
Circumesophageal ganglion	TS-0148
Circumoesophageal ganglia	TS-0148
Circumoesophageal ganglion	TS-0148
Circumvallate papilla	TS-0149
Circumvallate papillae	TS-0149
CML cell	TS-0147
Cnidoblast	TS-0666
CNS	TS-0150
Coagulating gland	TS-1213
Coagulating gland secretion	TS-1214
Cochlea	TS-0151
Cochlear duct	TS-0152
Cochlear ganglion	TS-0065
Cochlear nuclei	TS-1187
Cochlear nucleus	TS-1187
Cochlear organ	TS-0151
Cochlear scala media	TS-0152
Coeliac ganglia	TS-0153
Coeliac ganglion	TS-0153
Coelomic fluid	TS-0154
Coelomocyte	TS-0155
Coleoptile	TS-0156
Coleoptile tissue	TS-0156
Collar	TS-0157
Colliculi	TS-0179
Colon	TS-0158
Colon adenocarcinoma	TS-0159
Colon cancer	TS-0160
