D.trifida L.f.	55581
D.virilis	7244
D.virus	12637
D.x grandiflorum	41568
D.x morifolium	41568
Dab	27771
Daboia russelii	8707
Daboia russelli	8707
Daboia russellii	8707
Dabs	27771
Danio frankei	7955
Danio rerio	7955
Danio rerio frankei	7955
DCV	64279
Dendranthema grandiflora	41568
Dendranthema grandiflorum	41568
Dendranthema morifolium	41568
Dendranthema x grandiflorum	41568
Dendranthema x morifolium	41568
Dendrathema x grandiflorum	41568
Dendrathemum grandiflorum	41568
Dengue virus	12637
Denitrobacillus licheniformis	1402
Dermacentroxenus rickettsii	783
Dessert bananas	4641
Dictyostelium discoideum	44689
Dill	40922
Dills	40922
Dioscorea trifida	55581
Dioscorea trifida L.f.	55581
Diplococcus gonorrhoeae	485
Diplococcus pneumoniae	1313
Diplokokkus intracellularis meningitidis	487
Dog	9615
Dogs	9615
Domestic ass	9793
Domestic cattle	9913
Domestic cattles	9913
Domestic cow	9913
Domestic cows	9913
Domestic goat	9925
Domestic goats	9925
Domestic guinea pig	10141
Domestic guinea pigs	10141
Domestic horse	9796
Domestic horses	9796
Domestic rabbit	9986
Domestic rabbits	9986
Domestic sheep	9940
Domestic sheeps	9940
Domesticated barley	112509
Domesticated barleys	112509
Donkey	9793
Donkeys	9793
Douroucouli	9505
Douroucoulis	9505
Downy mildew	134698
Downy mildews	134698
Drosophila affinidisjuncta	7262
Drosophila C virus	64279
Drosophila funebris	7221
Drosophila irilis	7244
Drosophila melangaster	7227
Drosophila melanogaster	7227
Drosophila triauraria	67534
Drosophila virilis	7244
Duck hepatitis A virus	691956
Duck hepatitis virus 1	691956
Duck hepatitis virus type 1	691956
Dwarf Leghorn chickens	9031
E. aediculatus	5940
E. asinus	9793
E. caballus	9796
E. carotovora	554
E. coli	110766
E. esula	3993
E. esula L.	3993
E. ferus caballus	9796
E. graminis	34373
E. infectious anemia virus	11665
E. infectious anemia virus EIAV	11665
E. meliloti	382
E. monocytogenes	1639
E. nidulans	162425
E. phage lambda	10710
E. przewalskii f. caballus	9796
E. przewalskii forma caballus	9796
E. virus EBV	10376
E.aediculatus	5940
E.asinus	9793
E.caballus	9796
E.carotovora	554
E.coli	110766
E.esula	3993
E.esula L.	3993
E.ferus caballus	9796
E.graminis	34373
E.infectious anemia virus	11665
E.infectious anemia virus EIAV	11665
E.meliloti	382
E.monocytogenes	1639
E.nidulans	162425
E.phage lambda	10710
E.przewalskii f. caballus	9796
E.przewalskii forma caballus	9796
E.virus EBV	10376
EIAV	11665
Emericella nidulans	162425
Emperor tamarin	9491
Emperor tamarins	9491
Ensifer meliloti	382
Entamoeba coli	110766
Enterobacteria phage lambda	10710
Epstein-Barr virus	10376
Epstein-Barr virus EBV	10376
Epstein-Barr-virus EBV	10376
Equine	9796
Equine infectious anemia virus	11665
Equine infectious anemia virus EIAV	11665
Equines	9796
Equus asinus	9793
Equus caballus	9796
Equus ferus caballus	9796
Equus przewalskii f. caballus	9796
Equus przewalskii forma caballus	9796
Erwinia caratovora	554
Erwinia carotovora	554
Erysipelothrix monocytogenes	1639
Erysiphe graminis	34373
Euphorbia esula	3993
Euphorbia esula L.	3993
Euplotes aediculatus	5940
European rabbit	9986
European rabbits	9986
F. ananassa	3747
F. chiloensis x Fragaria virginiana	3747
F. febricis	11089
F. fujikuroi	5127
F. graminearum	5518
F. incarnatum	298378
F. moniliforme	117187
F. novicida	264
F. oxysporum	5507
F. pallidoroseum	298378
F. semitectum	298378
F. tularensis biogroup novicida	264
F. tularensis bv. novicida	264
F. tularensis subsp. novicida	264
F. tularensis var. novicida	264
F. verticillioides	117187
F. virginiana x Fragaria chiloensis	3747
F. x ananassa	3747
F.ananassa	3747
F.chiloensis x Fragaria virginiana	3747
F.febricis	11089
F.fujikuroi	5127
F.graminearum	5518
F.incarnatum	298378
F.moniliforme	117187
F.novicida	264
F.oxysporum	5507
F.pallidoroseum	298378
F.semitectum	298378
F.tularensis biogroup novicida	264
F.tularensis bv. novicida	264
F.tularensis subsp. novicida	264
F.tularensis var. novicida	264
F.verticillioides	117187
F.virginiana x Fragaria chiloensis	3747
F.x ananassa	3747
Fisher	76720
Fishers	76720
Fission yeast	4896
Fission yeasts	4896
Flag	34205
Flags	34205
Flavivirus febricis	11089
Fleur-de-lis	34205
Florist's chrysanthemum	41568
Florist's chrysanthemums	41568
Fragaria ananassa	3747
Fragaria chiloensis x Fragaria virginiana	3747
Fragaria virginiana x Fragaria chiloensis	3747
Fragaria x ananassa	3747
Francisella novicida	264
Francisella tularensis biogroup novicida	264
Francisella tularensis bv. novicida	264
Francisella tularensis subsp. novicida	264
Francisella tularensis var. novicida	264
fruit flies	7227
Fruit fly	7227
Fruit flys	7227
Fungal sp. ZZF51	5507
Fungal sp. ZZF51s	5507
Fusarium fujikuroi	5127
Fusarium graminearum	5518
Fusarium incarnatum	298378
Fusarium moniliformae	117187
Fusarium moniliforme	117187
Fusarium oxysporum	5507
Fusarium pallidoroseum	298378
Fusarium semitectum	298378
Fusarium sp. GIFUUTR5	5507
Fusarium sp. GIFUUTR5s	5507
Fusarium sp. PDBC NPFu1	5507
Fusarium sp. PDBC NPFu1s	5507
Fusarium sp. PDBC NPFu2	5507
Fusarium sp. PDBC NPFu2s	5507
Fusarium sp. PDBC NPFu3	5507
Fusarium sp. PDBC NPFu3s	5507
Fusarium verticillioides	117187
G. B streptococcus	1319
G. fujikuroi	5127
