A. genomosp. 4	29430
A. genomosp. 5	40215
A. genomosp. 7	40214
A. genomosp. 8	28090
A. genomospecies 1	471
A. genomospecies 12	40216
A. genomospecies 2	470
A. genomospecies 4	29430
A. genomospecies 5	40215
A. genomospecies 7	40214
A. genomospecies 8	28090
A. gentilis	8957
A. geoffroyi	9509
A. georgianus	163129
A. gerardii	79824
A. gerardii Vitman	79824
A. gerencseriae	52769
A. germari	157307
A. germinans	41378
A. gigantea	167804
A. gigantea	7604
A. giganteus	5060
A. gigas	113544
A. gigas	44938
A. gigas	85712
A. gigas Nakai	85712
A. githago	39848
A. glabra	301703
A. glabra L.	301703
A. glabrata	212810
A. glabrata Benth.	212810
A. glabripennis	217634
A. glacialis	185735
A. glauca	4829
A. glaucescens	1907
A. glaucum var. trichophorum	85679
A. glaucus	40379
A. globiforme	1665
A. globiformis	1665
A. globisporus	1908
A. glutinosa	3517
A. glycine	307491
A. glycines	307491
A. glycines Matsumura	307491
A. gossypii	33169
A. gossypii	80765
A. gracile	59636
A. gracilis	56196
A. graeca	40178
A. gramineus	55184
A. gramineus Sol. ex Aiton	55184
A. grandis	46611
A. grandis	7044
A. granosa	220873
A. granularum	264635
A. graveolens	4045
A. graveolens	40922
A. green monkey lymphotropic papovavirus LPV	12480
A. green monkey polyomavirus	12480
A. grimontii	40215
A. griseimembra	292213
A. griseoflavus	35619
A. griseolus	1909
A. griseus	1911
A. grossedentata	416090
A. Group 501	652
A. grylio	190277
A. guariba	182256
A. guariba clamitans	183328
A. gueldenstaedti	7902
A. gueldenstaedtii	7902
A. guerreronis	331510
A. guldenstadti	7902
A. guttatus var. oramin	75042
A. gypseum	63402
A. haematolyticus	29430
A. haemolyticum	28264
A. haemolyticus	29430
A. halimus	240028
A. halimus L.	240028
A. halleri	81970
A. halophytica	72020
A. haloplanktis	228
A. halstedii	1944
A. halys	8714
A. halys blomhoffi	242054
A. halys blomhoffii	242054
A. halys brevicaudus	259325
A. hansenii	436
A. harveyi	669
A. hatchetti	65660
A. healyi	65661
A. hebraeum	34608
A. hepatica	168011
A. hepatica L.	168011
A. herba-alba	72329
A. herba-alba Asso	72329
A. herbariorum	41413
A. herodias	56072
A. herpesvirus 1	104388
A. herpesvirus 1	35252
A. herpesvirus 2	10380
A. heterophyllus	3489
A. heterotropoides	366663
A. heterotropoides F.Schmidt	366663
A. hilare	244443
A. hinshawii	59203
A. hippocastanum	43364
A. hirsuta	109061
A. hirsuta	291940
A. hirsutus	291940
A. hirsutus Lam.	291940
A. hispidum	182999
A. holboellii	93890
A. hominis	2098
A. honmai	85585
A. horse sickness group	40050
A. horse sickness virus	40050
A. horse sickness virus AHSV	40050
A. horsesickness virus	40050
A. horsfieldii	101699
A. houstonianum	55598
A. humicola	5417
A. huso	61971
A. hybridization group 12	652
A. hybridus	3565
A. hybridus L.	3565
A. hybridus var. erythrostachys	28502
A. hydrocarboglutamicus	1833
A. hydrophila	644
A. hydrophila anaerogenes	648
A. hydrophila genomosp. 2	105751
A. hydrophila genomospecies 2	105751
A. hydrophila proteolytica	671
A. hydrophila subsp. proteolytica	671
A. hydrosauri	59643
A. hyemalis var. scabra	345920
A. hygroscopicus	1912
A. hyorhinis	2100
A. hyperantus	111886
A. hypochondriacus	28502
A. hypocondriacus	28502
A. hypogaea	3818
A. hyrcanus	138534
A. hystrix	644148
A. ibis	110668
A. ichthiosmia	654
A. ichthyodermis	55601
A. ilicifolius	328098
A. ilicifolius L.	328098
A. imberbis	357811
A. immersus	5191
A. incana	3516
A. incana subsp. hirsuta	109061
A. incana var. hirsuta	109061
A. incoloratum	45277
A. indica	124943
A. indica	48135
A. indica	65672
A. indica L.	48135
A. indicum	65672
A. indicus	8846
A. infectious bursal disease virus	10995
A. infectious laryngotracheitis virus	10386
A. infectoria	45303
A. infesta	106656
A. influenza virus	11309
A. inokumae	109061
A. inokumae S.Murai & Kusaka	109061
A. inokumai	109061
A. inornata	68352
A. insidiosum	33014
A. integer	3490
A. integrifolia auct.	3489
A. integrifolius L.f.	3490
A. intermedium	85679
A. interpres	54971
A. invadans	157072
A. ipomoea	103232
A. ipsilon	56364
A. irakense	34011
A. irradians	31199
A. israeli	1659
A. israelii	1659
A. israelii serovar II	52769
A. itersonii	189
A. iwayomogi	265784
A. iwayomogi Kitam.	265784
A. jamaicensis	9417
A. jandaei	650
A. japonica	109063
A. japonica	7937
A. japonicus	140438
A. japonicus	166789
A. japonicus	307972
A. japonicus	34381
A. japonicus	448029
A. japonicus japonicus	140439
A. jeffersonianum	8297
A. johnsonii	40214
A. jubatus	32536
A. juliana	6506
A. julibrissin	3813
A. julibrissin Durazz.	3813
A. junii	40215
A. junius	214820
A. kalrae	241728
A. kawachii	40384
A. keiskei	357850
A. ketogenum	435
A. kiliense	45277
A. kivui	2325
A. konjac	78372
